mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
-5.106,1.225,-7.433,-2.833,0.036,0.025,1193.0,1237.0,1.0
-0.794,0.926,-2.427,0.975,0.024,0.017,1495.0,1453.0,1.0
-0.26,0.843,-1.748,1.4,0.018,0.017,2170.0,1768.0,1.0
0.22,0.811,-1.289,1.724,0.017,0.016,2413.0,1456.0,1.0
0.796,0.813,-0.755,2.322,0.021,0.017,1544.0,1257.0,1.0
1.861,0.685,0.64,3.132,0.016,0.012,1861.0,1594.0,1.0
1.067,0.51,0.203,2.053,0.022,0.017,543.0,655.0,1.01
0.661,0.36,0.06,1.416,0.015,0.012,650.0,657.0,1.01
0.806,0.308,0.289,1.395,0.028,0.02,148.0,558.0,1.03
0.845,0.268,0.4,1.373,0.026,0.019,96.0,518.0,1.04
0.714,0.212,0.326,1.098,0.023,0.016,85.0,643.0,1.04
0.769,0.211,0.413,1.189,0.024,0.017,73.0,377.0,1.05
0.739,0.195,0.369,1.071,0.025,0.017,64.0,336.0,1.05
0.794,0.206,0.448,1.195,0.026,0.019,63.0,361.0,1.06
0.765,0.194,0.404,1.113,0.026,0.019,56.0,353.0,1.06
0.806,0.205,0.424,1.18,0.028,0.02,55.0,426.0,1.06
0.733,0.186,0.417,1.095,0.024,0.017,58.0,325.0,1.06
0.634,0.163,0.312,0.922,0.023,0.016,52.0,364.0,1.06
0.679,0.175,0.365,1.0,0.023,0.016,57.0,348.0,1.06
-0.038,0.973,-1.948,1.779,0.017,0.022,3360.0,1695.0,1.0
0.341,0.97,-1.338,2.459,0.018,0.023,3046.0,1197.0,1.01
0.221,0.918,-1.434,2.016,0.018,0.019,2642.0,1622.0,1.0
-0.096,0.883,-1.732,1.55,0.018,0.018,2506.0,1513.0,1.0
0.034,0.876,-1.649,1.669,0.016,0.021,2893.0,1310.0,1.0
-0.011,0.867,-1.552,1.657,0.019,0.019,1969.0,1639.0,1.0
0.029,0.874,-1.568,1.706,0.017,0.019,2524.0,1756.0,1.0
-0.424,0.872,-1.937,1.295,0.018,0.017,2374.0,1488.0,1.0
-0.208,0.861,-1.791,1.416,0.017,0.018,2432.0,1478.0,1.0
-0.14,0.894,-1.801,1.579,0.019,0.019,2232.0,1279.0,1.0
0.01,0.866,-1.671,1.519,0.017,0.019,2654.0,1361.0,1.0
0.017,0.892,-1.565,1.774,0.019,0.019,2199.0,1588.0,1.0
0.056,0.861,-1.596,1.602,0.019,0.018,2139.0,1505.0,1.0
0.609,0.879,-0.988,2.3,0.016,0.016,2883.0,1768.0,1.0
0.868,0.871,-0.729,2.476,0.018,0.014,2330.0,1394.0,1.0
0.578,0.877,-1.185,2.102,0.016,0.016,3080.0,1592.0,1.0
0.586,0.872,-1.014,2.326,0.018,0.017,2447.0,1212.0,1.0
0.749,0.854,-0.86,2.346,0.017,0.015,2521.0,1469.0,1.0
0.406,0.846,-1.136,2.026,0.016,0.016,2735.0,1563.0,1.0
0.61,0.851,-0.997,2.169,0.017,0.015,2518.0,1517.0,1.0
0.363,0.883,-1.239,2.061,0.018,0.018,2417.0,1524.0,1.0
0.451,0.86,-1.332,1.92,0.017,0.017,2683.0,1674.0,1.0
0.425,0.843,-1.082,2.011,0.018,0.017,2293.0,1314.0,1.0
-0.033,0.867,-1.624,1.649,0.016,0.02,3105.0,1501.0,1.01
0.16,0.891,-1.512,1.75,0.017,0.02,2641.0,1501.0,1.0
0.053,0.87,-1.533,1.664,0.017,0.022,2534.0,1402.0,1.0
0.265,0.885,-1.27,2.027,0.017,0.019,2672.0,1394.0,1.01
0.065,0.894,-1.646,1.72,0.017,0.021,2706.0,1495.0,1.0
0.087,0.883,-1.638,1.587,0.018,0.021,2375.0,1464.0,1.0
0.251,0.877,-1.411,1.816,0.017,0.019,2499.0,1481.0,1.0
0.171,0.874,-1.401,1.836,0.018,0.02,2456.0,1428.0,1.0
-0.087,0.854,-1.603,1.557,0.018,0.018,2379.0,1699.0,1.0
0.124,0.899,-1.499,1.859,0.017,0.022,2844.0,1393.0,1.0
0.407,0.883,-1.242,2.088,0.018,0.018,2406.0,1446.0,1.0
0.277,0.875,-1.458,1.855,0.017,0.021,2750.0,1633.0,1.0
0.476,0.873,-1.087,2.103,0.021,0.017,1647.0,1515.0,1.0
0.708,0.847,-0.971,2.203,0.017,0.016,2646.0,1512.0,1.0
0.38,0.882,-1.128,2.171,0.019,0.018,2056.0,1465.0,1.0
0.673,0.87,-0.923,2.36,0.018,0.015,2295.0,1565.0,1.0
0.587,0.837,-0.954,2.157,0.018,0.016,2259.0,1466.0,1.0
0.69,0.871,-0.934,2.357,0.017,0.016,2713.0,1545.0,1.0
0.879,0.869,-0.748,2.472,0.018,0.014,2447.0,1681.0,1.0
0.473,0.84,-1.141,1.971,0.018,0.018,2157.0,1257.0,1.0
0.83,0.885,-0.732,2.527,0.017,0.016,2721.0,1336.0,1.01
0.619,0.843,-0.975,2.191,0.016,0.016,2690.0,1443.0,1.0
0.406,0.875,-1.27,1.955,0.016,0.018,2897.0,1514.0,1.0
0.552,0.82,-0.927,2.053,0.017,0.014,2318.0,1568.0,1.0
0.628,0.843,-0.809,2.304,0.015,0.015,3049.0,1543.0,1.0
0.789,0.875,-0.863,2.42,0.018,0.018,2397.0,1447.0,1.0
0.768,0.896,-0.908,2.484,0.016,0.016,3041.0,1541.0,1.0
0.562,0.883,-1.005,2.236,0.018,0.017,2377.0,1441.0,1.01
0.314,0.881,-1.27,2.035,0.017,0.019,2593.0,1556.0,1.0
0.002,1.004,-1.913,1.83,0.017,0.026,3417.0,1335.0,1.0
-0.032,1.001,-1.912,1.747,0.021,0.024,2186.0,1470.0,1.0
0.348,0.965,-1.536,1.968,0.019,0.021,2691.0,1358.0,1.0
0.51,0.985,-1.426,2.264,0.017,0.021,3286.0,1348.0,1.01
0.237,0.952,-1.533,2.002,0.019,0.025,2429.0,1200.0,1.01
0.284,0.943,-1.557,2.012,0.017,0.02,2937.0,1520.0,1.0
0.262,0.95,-1.431,2.103,0.017,0.022,3145.0,1669.0,1.0
0.328,0.932,-1.326,2.257,0.02,0.019,2182.0,1449.0,1.0
0.349,0.913,-1.27,2.093,0.017,0.019,2726.0,1395.0,1.0
0.397,0.921,-1.319,2.138,0.017,0.018,2950.0,1452.0,1.0
0.214,0.94,-1.483,2.121,0.017,0.023,3175.0,1392.0,1.0
0.039,0.955,-1.572,2.133,0.019,0.023,2661.0,1368.0,1.0
0.035,0.959,-1.747,1.802,0.019,0.021,2522.0,1482.0,1.0
0.075,0.895,-1.741,1.651,0.018,0.021,2359.0,1396.0,1.0
0.474,0.899,-1.249,2.092,0.016,0.018,3030.0,1632.0,1.0
0.394,0.925,-1.31,2.094,0.019,0.019,2413.0,1428.0,1.0
0.46,0.904,-1.19,2.089,0.018,0.018,2428.0,1362.0,1.01
0.574,0.912,-1.086,2.254,0.016,0.017,3125.0,1450.0,1.0
0.541,0.94,-1.142,2.451,0.017,0.018,3145.0,1443.0,1.0
0.28,0.887,-1.334,1.982,0.017,0.019,2597.0,1586.0,1.01
0.384,0.894,-1.242,2.072,0.017,0.019,2675.0,1370.0,1.01
0.281,0.858,-1.233,1.915,0.015,0.019,3213.0,1531.0,1.01
0.245,0.914,-1.476,1.941,0.018,0.019,2528.0,1563.0,1.0
0.249,0.856,-1.338,1.839,0.016,0.018,2775.0,1654.0,1.0
0.327,0.867,-1.402,1.873,0.019,0.017,2178.0,1327.0,1.0
0.457,0.865,-1.205,2.073,0.018,0.018,2356.0,1363.0,1.01
0.747,0.904,-0.913,2.456,0.02,0.017,2105.0,1598.0,1.0
0.945,0.871,-0.824,2.514,0.017,0.014,2503.0,1319.0,1.0
0.819,0.874,-0.863,2.431,0.018,0.014,2404.0,1651.0,1.0
0.653,0.856,-0.905,2.257,0.017,0.015,2591.0,1715.0,1.0
0.592,0.855,-0.954,2.225,0.015,0.015,3171.0,1513.0,1.0
0.667,0.894,-1.012,2.277,0.018,0.015,2424.0,1505.0,1.01
0.586,0.872,-0.936,2.267,0.017,0.017,2662.0,1742.0,1.0
0.572,0.887,-0.989,2.322,0.017,0.016,2597.0,1416.0,1.01
0.549,0.878,-1.095,2.193,0.019,0.017,2159.0,1393.0,1.0
0.516,0.895,-1.118,2.122,0.018,0.018,2554.0,1540.0,1.0
0.525,0.869,-1.065,2.165,0.019,0.017,2224.0,1325.0,1.0
0.352,0.871,-1.204,2.037,0.019,0.018,2103.0,1526.0,1.0
0.392,0.862,-1.211,1.987,0.016,0.017,2942.0,1613.0,1.0
0.42,0.851,-1.138,2.054,0.014,0.017,3475.0,1470.0,1.0
0.287,0.862,-1.264,1.916,0.017,0.018,2596.0,1695.0,1.0
0.589,0.848,-0.933,2.185,0.017,0.015,2518.0,1562.0,1.0
0.431,0.82,-1.046,2.012,0.018,0.016,2040.0,1447.0,1.0
0.297,0.863,-1.347,1.881,0.018,0.017,2202.0,1543.0,1.0
0.212,0.835,-1.264,1.938,0.016,0.018,2795.0,1481.0,1.0
0.191,0.857,-1.25,1.92,0.018,0.018,2181.0,1369.0,1.0
0.43,0.865,-1.384,1.886,0.017,0.018,2549.0,1518.0,1.0
0.312,0.854,-1.224,1.905,0.017,0.018,2460.0,1619.0,1.0
0.3,0.822,-1.211,1.839,0.017,0.016,2333.0,1399.0,1.0
0.428,0.819,-1.08,1.975,0.018,0.017,2111.0,1613.0,1.0
0.498,0.853,-1.175,1.962,0.017,0.017,2580.0,1604.0,1.0
0.34,0.827,-1.107,1.95,0.016,0.017,2744.0,1571.0,1.0
0.367,0.838,-1.311,1.851,0.018,0.017,2161.0,1573.0,1.01
0.587,0.861,-1.042,2.176,0.018,0.016,2265.0,1494.0,1.0
0.387,0.869,-1.035,2.201,0.017,0.017,2651.0,1722.0,1.01
0.63,0.864,-0.877,2.319,0.018,0.015,2339.0,1592.0,1.0
0.601,0.878,-1.06,2.261,0.018,0.017,2330.0,1590.0,1.0
0.648,0.883,-0.943,2.357,0.017,0.016,2611.0,1535.0,1.0
0.401,0.839,-1.171,1.944,0.018,0.017,2125.0,1238.0,1.0
0.327,0.837,-1.35,1.783,0.015,0.017,3110.0,1623.0,1.0
0.351,0.855,-1.255,1.865,0.017,0.018,2624.0,1554.0,1.0
0.203,0.878,-1.391,1.876,0.016,0.019,2803.0,1474.0,1.0
0.303,0.864,-1.317,1.936,0.017,0.018,2471.0,1572.0,1.0
0.433,0.859,-1.142,2.018,0.019,0.019,2144.0,1446.0,1.0
0.363,0.891,-1.19,2.133,0.018,0.018,2343.0,1737.0,1.0
0.429,0.84,-1.164,1.962,0.017,0.015,2540.0,1680.0,1.0
0.518,0.863,-1.271,1.954,0.019,0.016,2136.0,1492.0,1.0
0.286,0.905,-1.276,2.109,0.016,0.019,3062.0,1440.0,1.0
0.127,0.851,-1.506,1.679,0.016,0.019,2983.0,1448.0,1.0
-0.17,0.867,-1.797,1.423,0.017,0.018,2539.0,1501.0,1.0
-0.111,0.897,-1.911,1.426,0.019,0.019,2333.0,1521.0,1.0
-0.277,0.884,-1.904,1.386,0.017,0.017,2712.0,1637.0,1.0
-0.175,0.893,-1.778,1.479,0.018,0.019,2435.0,1802.0,1.0
-0.096,0.914,-1.753,1.585,0.017,0.021,2960.0,1465.0,1.0
-0.315,0.917,-2.112,1.322,0.019,0.02,2219.0,1584.0,1.0
-0.218,0.896,-1.893,1.414,0.02,0.017,2018.0,1747.0,1.0
0.04,0.93,-1.688,1.79,0.018,0.022,2542.0,1511.0,1.0
-0.073,0.936,-1.783,1.737,0.02,0.02,2194.0,1470.0,1.0
-0.316,0.872,-2.011,1.196,0.018,0.018,2376.0,1370.0,1.0
-0.339,0.92,-2.142,1.381,0.019,0.019,2408.0,1646.0,1.0
-0.359,0.923,-2.083,1.343,0.018,0.019,2531.0,1530.0,1.0
-0.375,0.949,-2.116,1.51,0.02,0.019,2355.0,1448.0,1.01
-0.486,0.937,-2.283,1.275,0.017,0.019,2920.0,1383.0,1.0
-0.537,0.908,-2.194,1.116,0.018,0.018,2418.0,1547.0,1.0
-0.579,0.947,-2.378,1.169,0.017,0.018,3161.0,1677.0,1.0
-0.312,0.934,-2.027,1.418,0.019,0.02,2375.0,1626.0,1.0
-0.364,0.942,-2.066,1.433,0.017,0.023,3038.0,1434.0,1.0
-0.458,0.96,-2.383,1.252,0.018,0.02,2836.0,1261.0,1.0
-0.37,0.961,-2.082,1.425,0.017,0.024,3011.0,1315.0,1.01
-0.516,0.976,-2.287,1.362,0.018,0.02,2969.0,1344.0,1.0
-0.445,0.955,-2.357,1.227,0.018,0.019,2857.0,1420.0,1.0
-0.276,0.973,-2.189,1.423,0.018,0.021,2877.0,1654.0,1.0
-0.285,0.978,-2.178,1.439,0.017,0.021,3143.0,1494.0,1.0
-0.266,0.964,-1.991,1.664,0.017,0.021,3409.0,1757.0,1.0
-0.254,0.963,-1.909,1.631,0.018,0.022,2708.0,1530.0,1.0
-0.313,0.968,-2.1,1.458,0.018,0.02,2890.0,1733.0,1.0
-0.477,0.956,-2.301,1.322,0.018,0.02,2972.0,1545.0,1.01
-0.577,1.006,-2.402,1.405,0.019,0.019,2933.0,1692.0,1.0
-0.514,0.992,-2.316,1.368,0.016,0.02,3656.0,1773.0,1.0
-0.449,0.989,-2.17,1.445,0.016,0.019,3619.0,1811.0,1.0
-0.397,0.995,-2.095,1.53,0.015,0.022,4596.0,1444.0,1.0
-0.371,1.021,-2.499,1.389,0.017,0.026,3715.0,1452.0,1.01
-0.348,1.0,-2.248,1.524,0.017,0.023,3295.0,1354.0,1.0
-0.31,0.969,-2.082,1.49,0.022,0.021,2027.0,1385.0,1.0
-0.232,1.058,-2.098,1.822,0.02,0.024,2692.0,1530.0,1.0
-0.193,0.975,-1.982,1.618,0.017,0.023,3424.0,1617.0,1.0
-0.177,1.025,-1.98,1.811,0.018,0.026,3362.0,1460.0,1.0
-0.128,0.993,-1.951,1.814,0.018,0.026,2960.0,1326.0,1.0
-0.127,1.029,-2.16,1.641,0.021,0.024,2376.0,1348.0,1.01
-0.045,0.973,-1.801,1.825,0.017,0.024,3148.0,1433.0,1.0
-0.034,1.018,-1.793,1.944,0.02,0.023,2533.0,1526.0,1.0
0.005,0.997,-1.871,1.888,0.019,0.023,2829.0,1341.0,1.0
-0.09,1.035,-2.039,1.792,0.019,0.023,3094.0,1771.0,1.01
-0.155,1.006,-2.006,1.725,0.016,0.025,4035.0,1410.0,1.0
-0.08,1.007,-1.889,1.797,0.019,0.023,2799.0,1669.0,1.0
-0.065,1.035,-1.923,1.839,0.02,0.025,2709.0,1399.0,1.0
-0.051,1.0,-1.991,1.746,0.018,0.026,3026.0,1277.0,1.0
-0.072,1.008,-1.961,1.813,0.018,0.024,3242.0,1588.0,1.0
-0.047,1.0,-1.886,1.876,0.02,0.024,2542.0,1375.0,1.0
-0.013,1.013,-1.806,1.968,0.015,0.025,4462.0,1524.0,1.0
-0.035,1.021,-1.892,1.904,0.02,0.023,2693.0,1295.0,1.0
-0.009,0.947,-1.743,1.777,0.016,0.023,3418.0,1663.0,1.0
-0.028,0.941,-1.797,1.796,0.017,0.022,3011.0,1473.0,1.0
-0.054,1.025,-2.002,1.732,0.017,0.024,3628.0,1301.0,1.0
-0.025,0.989,-1.97,1.776,0.017,0.027,3432.0,1131.0,1.0
-0.032,0.983,-1.861,1.79,0.018,0.025,2915.0,1362.0,1.0
-0.006,0.988,-1.753,1.939,0.02,0.021,2348.0,1520.0,1.0
-0.0,0.999,-1.674,2.001,0.017,0.025,3275.0,1321.0,1.0
-0.039,0.976,-1.805,1.833,0.019,0.021,2620.0,1584.0,1.0
0.003,1.008,-1.858,1.841,0.018,0.023,2947.0,1447.0,1.0
-0.008,1.008,-1.851,1.835,0.018,0.026,3023.0,1209.0,1.0
-0.004,1.0,-1.83,1.831,0.016,0.024,3996.0,1428.0,1.01
-0.004,1.031,-1.943,1.759,0.018,0.023,3446.0,1451.0,1.01
0.003,1.014,-1.88,1.911,0.021,0.024,2355.0,1352.0,1.0
-0.032,1.042,-1.817,2.024,0.017,0.025,3546.0,1811.0,1.0
-0.015,0.98,-1.878,1.781,0.018,0.022,3099.0,1388.0,1.0
0.007,1.009,-2.004,1.834,0.018,0.024,3181.0,1481.0,1.0
-0.002,1.028,-1.867,1.937,0.019,0.025,3061.0,1560.0,1.0
-0.006,1.024,-1.804,1.922,0.02,0.023,2750.0,1380.0,1.0
0.964,0.262,0.557,1.449,0.031,0.022,57.0,274.0,1.06
-0.81,0.987,-2.707,0.901,0.039,0.028,699.0,1021.0,1.01
-1.081,1.287,-3.685,1.063,0.059,0.042,482.0,1049.0,1.01
-0.884,1.417,-3.668,1.562,0.065,0.046,467.0,996.0,1.02
-0.155,1.399,-2.826,2.412,0.053,0.038,744.0,1134.0,1.01
1.607,1.238,-0.623,3.952,0.034,0.024,1347.0,1216.0,1.0
2.576,1.213,0.389,4.932,0.034,0.024,1338.0,1232.0,1.0
3.172,1.201,1.015,5.532,0.034,0.024,1312.0,1072.0,1.0
3.901,1.202,1.679,6.158,0.034,0.024,1294.0,1288.0,1.0
4.666,1.193,2.426,6.852,0.033,0.024,1299.0,1190.0,1.0
5.312,1.191,3.073,7.51,0.034,0.024,1273.0,1294.0,1.0
6.008,1.192,3.827,8.28,0.034,0.024,1267.0,1204.0,1.0
6.676,1.192,4.377,8.844,0.034,0.024,1266.0,1327.0,1.0
7.395,1.196,5.13,9.585,0.034,0.024,1256.0,1267.0,1.0
8.087,1.199,5.978,10.461,0.034,0.024,1243.0,1296.0,1.0
8.816,1.203,6.668,11.153,0.034,0.024,1233.0,1304.0,1.0
9.478,1.205,7.357,11.834,0.035,0.025,1224.0,1308.0,1.0
10.052,1.211,7.891,12.413,0.035,0.025,1210.0,1308.0,1.0
10.666,1.219,8.539,13.09,0.035,0.025,1192.0,1340.0,1.0
0.043,0.011,0.022,0.063,0.0,0.0,776.0,1058.0,1.0
-0.002,0.044,-0.089,0.081,0.001,0.001,3130.0,1479.0,1.0
0.015,0.062,-0.092,0.139,0.001,0.001,2751.0,1678.0,1.0
0.025,0.073,-0.102,0.165,0.001,0.001,2580.0,1605.0,1.0
0.021,0.076,-0.117,0.172,0.002,0.002,2602.0,1412.0,1.0
0.023,0.079,-0.12,0.174,0.002,0.002,2771.0,1680.0,1.0
0.023,0.084,-0.14,0.173,0.002,0.002,2623.0,1775.0,1.0
0.026,0.088,-0.139,0.192,0.002,0.002,2602.0,1406.0,1.0
0.007,0.089,-0.167,0.171,0.002,0.002,2670.0,1676.0,1.0
-0.001,0.09,-0.174,0.163,0.002,0.002,2354.0,1797.0,1.0
-0.006,0.09,-0.173,0.167,0.002,0.002,2125.0,1645.0,1.0
-0.005,0.093,-0.169,0.184,0.002,0.002,2086.0,1693.0,1.0
-0.003,0.094,-0.175,0.177,0.002,0.002,1923.0,1641.0,1.0
-0.001,0.095,-0.165,0.198,0.002,0.002,1957.0,1551.0,1.0
0.025,0.1,-0.161,0.209,0.002,0.002,1789.0,1772.0,1.0
0.063,0.106,-0.126,0.27,0.003,0.002,1444.0,1754.0,1.0
0.088,0.111,-0.102,0.314,0.003,0.002,1354.0,1577.0,1.0
0.112,0.117,-0.093,0.346,0.003,0.002,1289.0,1822.0,1.0
0.145,0.122,-0.063,0.391,0.004,0.002,1195.0,1610.0,1.0
0.162,0.126,-0.062,0.412,0.004,0.003,1183.0,1688.0,1.0
0.189,0.131,-0.055,0.436,0.004,0.003,1083.0,1516.0,1.0
0.204,0.136,-0.06,0.451,0.004,0.003,1072.0,1720.0,1.0
0.224,0.14,-0.043,0.481,0.004,0.003,1022.0,1649.0,1.0
0.243,0.148,-0.038,0.511,0.005,0.003,1021.0,1616.0,1.0
0.242,0.149,-0.02,0.535,0.005,0.003,1038.0,1682.0,1.0
0.249,0.154,-0.057,0.521,0.005,0.003,1010.0,1466.0,1.0
0.251,0.155,-0.02,0.55,0.005,0.003,995.0,1546.0,1.0
0.263,0.163,-0.045,0.569,0.005,0.004,1029.0,1632.0,1.0
0.266,0.167,-0.061,0.568,0.005,0.004,982.0,1738.0,1.0
0.271,0.171,-0.035,0.6,0.005,0.004,993.0,1665.0,1.0
0.282,0.176,-0.049,0.612,0.006,0.004,966.0,1618.0,1.0
0.29,0.181,-0.07,0.604,0.006,0.004,928.0,1570.0,1.0
0.286,0.183,-0.066,0.611,0.006,0.004,960.0,1427.0,1.0
0.291,0.187,-0.053,0.637,0.006,0.004,955.0,1527.0,1.0
0.309,0.194,-0.031,0.701,0.006,0.005,920.0,1505.0,1.0
0.321,0.197,-0.056,0.685,0.006,0.005,927.0,1486.0,1.0
0.341,0.201,-0.042,0.715,0.007,0.005,901.0,1536.0,1.0
0.372,0.209,-0.051,0.738,0.007,0.005,883.0,1617.0,1.0
0.388,0.213,-0.023,0.768,0.007,0.005,874.0,1476.0,1.0
0.417,0.22,0.01,0.831,0.008,0.005,859.0,1592.0,1.0
0.442,0.225,0.021,0.848,0.008,0.005,863.0,1539.0,1.0
0.47,0.23,0.031,0.89,0.008,0.006,873.0,1564.0,1.0
0.508,0.239,0.073,0.975,0.008,0.006,854.0,1425.0,1.0
0.527,0.242,0.06,0.966,0.008,0.006,862.0,1468.0,1.0
0.563,0.249,0.088,1.015,0.009,0.006,820.0,1375.0,1.0
0.589,0.254,0.105,1.045,0.009,0.006,821.0,1289.0,1.0
0.605,0.256,0.138,1.092,0.009,0.006,816.0,1309.0,1.0
0.629,0.261,0.112,1.086,0.009,0.006,829.0,1251.0,1.0
0.655,0.266,0.164,1.151,0.009,0.007,829.0,1190.0,1.0
0.689,0.276,0.153,1.177,0.01,0.007,834.0,1258.0,1.0
0.722,0.283,0.181,1.232,0.01,0.007,819.0,1233.0,1.0
0.746,0.287,0.188,1.257,0.01,0.007,812.0,1162.0,1.0
0.76,0.292,0.207,1.289,0.01,0.007,812.0,1255.0,1.0
0.759,0.295,0.223,1.308,0.01,0.007,815.0,1331.0,1.0
0.05,0.009,0.034,0.067,0.0,0.0,956.0,1566.0,1.01
-0.002,0.052,-0.096,0.095,0.001,0.001,2457.0,1322.0,1.0
0.016,0.07,-0.126,0.137,0.001,0.002,2525.0,1553.0,1.0
0.042,0.082,-0.111,0.205,0.002,0.002,2542.0,1489.0,1.0
0.054,0.093,-0.132,0.219,0.002,0.002,2804.0,1335.0,1.0
0.068,0.105,-0.131,0.262,0.002,0.002,2750.0,1565.0,1.0
0.081,0.109,-0.122,0.284,0.002,0.002,2771.0,1487.0,1.0
0.098,0.113,-0.101,0.329,0.002,0.002,2605.0,1729.0,1.0
0.115,0.119,-0.102,0.343,0.002,0.002,2675.0,1532.0,1.0
0.136,0.123,-0.084,0.38,0.002,0.002,2591.0,1698.0,1.0
0.147,0.126,-0.094,0.382,0.002,0.002,2603.0,1775.0,1.0
0.149,0.129,-0.088,0.401,0.003,0.002,2398.0,1676.0,1.0
0.15,0.131,-0.093,0.402,0.003,0.002,2260.0,1734.0,1.0
0.154,0.132,-0.115,0.391,0.003,0.002,2269.0,1730.0,1.0
0.178,0.134,-0.068,0.434,0.003,0.002,2091.0,1482.0,1.0
0.198,0.137,-0.063,0.452,0.003,0.002,1760.0,1507.0,1.0
0.221,0.141,-0.027,0.515,0.003,0.002,1793.0,1839.0,1.0
0.25,0.143,-0.012,0.526,0.004,0.003,1576.0,1890.0,1.0
0.278,0.149,0.015,0.567,0.004,0.003,1430.0,1907.0,1.0
0.292,0.152,0.018,0.578,0.004,0.003,1459.0,1968.0,1.0
0.31,0.155,0.02,0.601,0.004,0.003,1406.0,1695.0,1.0
0.325,0.159,0.031,0.621,0.004,0.003,1278.0,1740.0,1.0
0.336,0.162,0.056,0.651,0.005,0.003,1288.0,1851.0,1.0
0.349,0.164,0.058,0.664,0.005,0.003,1209.0,1882.0,1.0
0.365,0.17,0.055,0.673,0.005,0.003,1244.0,1802.0,1.0
0.388,0.173,0.075,0.722,0.005,0.004,1177.0,1883.0,1.0
0.424,0.176,0.096,0.748,0.005,0.004,1184.0,1793.0,1.0
0.472,0.18,0.119,0.794,0.006,0.004,1059.0,1881.0,1.0
0.513,0.186,0.17,0.862,0.006,0.004,1064.0,1805.0,1.0
0.545,0.192,0.213,0.92,0.006,0.004,1065.0,1809.0,1.0
0.574,0.195,0.193,0.919,0.006,0.004,1094.0,1676.0,1.0
0.607,0.199,0.274,1.015,0.006,0.004,1064.0,1663.0,1.0
0.636,0.206,0.258,1.023,0.007,0.005,1014.0,1733.0,1.0
0.664,0.21,0.261,1.039,0.007,0.005,967.0,1665.0,1.0
0.691,0.214,0.271,1.069,0.007,0.005,990.0,1706.0,1.0
0.717,0.217,0.304,1.115,0.007,0.005,977.0,1738.0,1.0
0.743,0.224,0.36,1.197,0.007,0.005,971.0,1764.0,1.0
0.76,0.228,0.355,1.21,0.007,0.005,964.0,1621.0,1.0
0.78,0.23,0.376,1.232,0.008,0.005,946.0,1457.0,1.0
0.801,0.234,0.4,1.275,0.008,0.005,937.0,1622.0,1.0
0.815,0.237,0.38,1.274,0.008,0.006,913.0,1758.0,1.0
0.844,0.244,0.365,1.285,0.008,0.006,892.0,1562.0,1.0
0.866,0.249,0.373,1.325,0.008,0.006,896.0,1596.0,1.0
0.881,0.254,0.431,1.386,0.009,0.006,873.0,1806.0,1.0
0.891,0.259,0.365,1.339,0.009,0.006,889.0,1742.0,1.0
0.901,0.264,0.367,1.365,0.009,0.006,893.0,1624.0,1.0
0.923,0.27,0.43,1.437,0.009,0.006,883.0,1683.0,1.0
0.938,0.275,0.422,1.442,0.009,0.007,863.0,1711.0,1.0
0.953,0.28,0.421,1.469,0.01,0.007,873.0,1598.0,1.0
0.975,0.285,0.452,1.508,0.01,0.007,862.0,1591.0,1.0
1.0,0.292,0.457,1.534,0.01,0.007,873.0,1566.0,1.0
1.017,0.296,0.474,1.567,0.01,0.007,858.0,1650.0,1.0
1.035,0.3,0.467,1.582,0.01,0.007,852.0,1571.0,1.0
1.064,0.305,0.512,1.643,0.011,0.008,851.0,1623.0,1.0
1.083,0.31,0.529,1.702,0.011,0.008,847.0,1652.0,1.0
1.114,0.317,0.52,1.702,0.011,0.008,831.0,1596.0,1.0
1.144,0.324,0.545,1.755,0.011,0.008,834.0,1653.0,1.0
